run_id,policy,scenario,seed,episode_seed,episode,step,action,reward,terminated,truncated,avg_utilization,active_ratio,max_util,min_util,p95_util,dropped_prev,num_active_edges,near_saturated_edges,delivered,dropped,avg_delay_ms,avg_path_latency_ms,energy_kwh,carbon_g,power_total_watts,power_fixed_watts,power_variable_watts,power_device_watts,power_link_watts,active_devices,inactive_devices,active_links,inactive_links,delta_energy_kwh,delta_delivered,delta_dropped,delta_carbon_g,norm_drop_step,norm_drop,reward_energy,reward_drop,reward_qos,reward_toggle,qos_violation,qos_excess,toggle_applied,toggle_reverted,toggle_blocked_any,toggle_blocked_cooldown,toggle_blocked_high_util,toggle_blocked_global_cooldown,blocked_by_util_count,blocked_by_cooldown_count,allowed_toggle_count,toggles_attempted_count,toggles_applied_count,action_is_noop,action_is_invalid,flows_count,flows_json
20260411_153955,ppo,normal,42,42,0,1,0,-0.05991666666666667,False,False,0.07291666666666667,1.0,0.4166666567325592,0.0,0.3697916567325592,0.0,10,0,5.0,0.0,19.532455091941706,12.0,4.993055555555556e-05,0.019972222222222225,179.75,176.0,3.75,98.29166666666666,61.45833333333333,8,0,10,0,4.993055555555556e-05,5.0,0.0,0.019972222222222225,0.0,0.0,-0.05991666666666667,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,1,
20260411_153955,ppo,normal,42,42,0,2,0,-0.05991666666666667,False,False,0.07291666666666667,1.0,0.4166666567325592,0.0,0.3697916567325592,0.0,10,0,5.0,0.0,19.532455091941706,12.0,4.993055555555556e-05,0.01997231299853379,179.75,176.0,3.75,98.29166666666666,61.45833333333333,8,0,10,0,4.993055555555556e-05,5.0,0.0,0.01997231299853379,0.0,0.0,-0.05991666666666667,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,1,
20260411_153955,ppo,normal,42,42,0,3,0,-0.06562121212121212,False,False,0.4257575757575758,1.0,1.0,0.0,0.9624999761581421,0.0,10,2,23.0,0.0,4233.797719065995,14.565217391304348,5.468434343434344e-05,0.02187393621162047,196.86363636363637,176.0,20.863636363636367,108.34848484848484,68.51515151515152,8,0,10,0,5.468434343434344e-05,23.0,0.0,0.02187393621162047,0.0,0.0,-0.06562121212121212,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,4,
20260411_153955,ppo,normal,42,42,0,4,0,-0.0630378787878788,False,False,0.2778409090909091,1.0,0.625,0.0,0.606249988079071,0.0,10,0,17.0,0.0,24.952777085829933,12.352941176470589,5.253156565656566e-05,0.021012912777868344,189.11363636363637,176.0,13.113636363636363,103.55681818181817,65.55681818181819,8,0,10,0,5.253156565656566e-05,17.0,0.0,0.021012912777868344,0.0,0.0,-0.0630378787878788,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,4,
20260411_153955,ppo,normal,42,42,0,5,0,-0.060750000000000005,False,False,0.13541666666666669,1.0,0.4166666567325592,0.0,0.3697916567325592,0.0,10,0,10.0,0.0,15.58440671952842,10.0,5.0625000000000004e-05,0.0202503681553839,182.25,176.0,6.25,99.54166666666666,62.708333333333336,8,0,10,0,5.0625000000000004e-05,10.0,0.0,0.0202503681553839,0.0,0.0,-0.060750000000000005,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,2,
20260411_153955,ppo,normal,42,42,0,6,0,-0.060750000000000005,False,False,0.13541666666666669,1.0,0.4166666567325592,0.0,0.3697916567325592,0.0,10,0,10.0,0.0,15.58440671952842,10.0,5.0625000000000004e-05,0.020250460194226227,182.25,176.0,6.25,99.54166666666666,62.708333333333336,8,0,10,0,5.0625000000000004e-05,10.0,0.0,0.020250460194226227,0.0,0.0,-0.060750000000000005,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,2,
20260411_153955,ppo,normal,42,42,0,7,0,-0.058666666666666666,False,False,0.0,1.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,4.888888888888889e-05,0.019556088850587853,176.0,176.0,0.0,96.0,60.0,8,0,10,0,4.888888888888889e-05,0.0,0.0,0.019556088850587853,0.0,0.0,-0.058666666666666666,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,0,
20260411_153955,ppo,normal,42,42,0,8,0,-0.058666666666666666,False,False,0.0,1.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,4.888888888888889e-05,0.019556177733086107,176.0,176.0,0.0,96.0,60.0,8,0,10,0,4.888888888888889e-05,0.0,0.0,0.019556177733086107,0.0,0.0,-0.058666666666666666,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,0,
20260411_153955,ppo,normal,42,42,0,9,0,-0.059598484848484845,False,False,0.05738636363636364,1.0,0.25,0.0,0.22187499701976776,0.0,10,0,3.0,0.0,19.063422560149995,15.0,4.966540404040404e-05,0.019866883970141566,178.79545454545453,176.0,2.7954545454545454,97.64772727272728,61.14772727272727,8,0,10,0,4.966540404040404e-05,3.0,0.0,0.019866883970141566,0.0,0.0,-0.059598484848484845,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,1,
20260411_153955,ppo,normal,42,42,0,10,0,-0.060333333333333336,False,False,0.10833333333333332,1.0,0.3333333432674408,0.0,0.2958333194255829,0.0,10,0,4.0,0.0,27.99998866668278,20.0,5.027777777777778e-05,0.02011193377926751,181.0,176.0,5.0,98.83333333333334,62.16666666666667,8,0,10,0,5.027777777777778e-05,4.0,0.0,0.02011193377926751,0.0,0.0,-0.060333333333333336,-0.0,-0.0,-0.0,False,0.0,False,False,False,False,False,False,0,0,0,0,0,True,False,1,
